,trial,t,t_last_visible,d_last_visible,abs_angle_last_visible,hit_boundary,num_stops,num_stops_near_target,n_ff_in_a_row
57,58,2.5,1.5,291.7066616521301,0.25901777845163443,False,2,2,1
58,59,1.5,31.75,325.2523695494067,0.3391325342010507,False,1,1,1
59,60,0.0,1.75,330.92305483698783,0.46980845979052405,False,0,0,1
60,61,1.5,1.75,197.80678011251837,0.30786169840686795,False,2,2,2
61,62,2.25,1.0,260.37094366942546,0.1114178781435175,False,2,2,1
62,63,1.75,1.0,316.6545763727856,0.12354618272712495,False,2,2,1
63,64,0.5,2.0,197.95104084786522,0.12354618272712495,False,0,0,1
64,65,0.0,1.0,251.79089760332974,0.0,False,0,0,2
65,66,1.5,1.0,387.79927435048955,0.6090591043114354,False,2,2,3
66,67,2.25,1.75,259.2631767148285,0.5842289894945878,False,1,1,1
67,68,7.75,1.5,170.7691385147253,0.06060076196374936,False,3,3,1
68,69,2.25,1.5,288.17878649490746,0.6054097280147502,False,2,2,1
69,70,1.25,32.75,304.2603837824048,0.5666720270622365,False,0,0,1
70,71,0.5,2.0,343.97761361110736,0.27703976583497114,False,0,0,1
71,72,3.75,1.5,126.38101130960398,0.2800011609240465,False,1,1,2
72,73,1.25,61.0,242.4132963537141,0.10785866453695403,False,0,0,1
73,74,0.5,2.0,346.77070804860443,0.408571799740825,False,0,0,1
74,75,0.0,31.0,331.99655370551636,0.6039972595605052,False,0,0,2
75,76,1.75,1.5,219.5625827554134,0.4884337784003534,False,2,2,3
76,77,7.75,1.75,370.33947432614735,0.3918105881360343,False,2,2,1
77,78,3.75,2.0,384.89408308059313,0.3737740351581331,False,2,2,1
78,79,1.75,0.5,380.00811827074796,0.4057681664293552,False,1,1,1
79,80,0.0,1.5,384.8576364399986,0.504416635914632,False,0,0,1
80,81,3.0,1.75,397.483144612056,0.3272086287865852,False,3,2,2
81,82,6.75,1.5,353.0927847849924,0.4300226050004411,False,5,3,1
82,83,1.75,1.5,145.85192433817875,0.28815295910392025,False,2,2,1
83,84,3.25,1.0,353.2796663253111,0.4896017573470056,False,2,2,1
84,85,4.25,1.5,139.75978375063826,0.4334171783787255,False,3,3,1
85,86,0.5,1.0,357.08926047102034,0.213820952940282,False,0,0,1
86,87,2.5,2.0,285.68237586988926,0.5564683597378537,False,2,2,2
87,88,0.0,2.0,338.5351470633347,0.5765476131910273,False,0,0,1
88,89,0.75,1.0,334.42141016275286,0.3909476538174753,False,0,0,2
89,90,1.0,2.75,348.0831141557262,0.5433469638319351,False,0,0,1
90,91,0.0,1.5,142.99569074206775,0.0,False,0,0,1
91,92,1.5,1.5,367.5314935069773,0.45686976552305536,False,2,2,2
92,93,3.25,1.5,358.4341904479613,0.5646714283844586,False,2,2,1
93,94,2.25,1.5,301.3655854908072,0.5370815157285215,False,2,2,1
94,95,3.0,2.0,237.23156059714245,0.5867455786822047,False,2,2,1
95,96,3.5,0.5,42.76320708829801,0.0,False,1,1,1
96,97,3.25,1.5,327.04417171068746,0.2723661378752979,False,4,3,1
97,98,1.75,1.75,291.0005179104952,0.5763741472985008,False,2,2,1
98,99,8.0,1.5,151.11726392044315,0.4077470682166962,False,3,1,1
99,100,2.5,1.5,352.7145183732809,0.30643771863121044,False,2,2,1
100,101,1.25,1.0,345.53986551415557,0.38415431015022017,False,0,0,1
101,102,0.0,1.75,332.7415796325343,0.37556687143255474,False,0,0,1
102,103,1.75,1.5,265.8179930133582,0.5977782319007653,False,2,2,2
103,104,0.75,2.5,254.28141397221503,0.5604279037484454,False,0,0,1
104,105,0.5,1.5,106.63616045832212,0.05383678207030554,False,0,0,1
105,106,5.75,2.0,334.1718609662572,0.20434056091316113,False,2,2,2
106,107,3.25,2.0,370.97010607088487,0.4280158533393853,False,2,2,1
107,108,1.25,1.75,327.0924871444221,0.5108928115480119,False,0,0,1
108,109,0.0,1.75,393.5204845901327,0.5974325493896792,False,0,0,1
109,110,1.0,1.5,322.5730786474204,0.38230879731764617,False,0,0,2
110,111,3.75,2.0,191.79084837729602,0.5402996994775514,False,3,2,1
111,112,1.0,1.25,233.78205364081774,0.4215302206096544,False,0,0,1
112,113,0.5,9999.0,9999.0,9999.0,False,0,0,1
113,114,1.75,1.5,196.30454759365415,0.07259362120819235,False,3,3,2
114,115,1.5,1.5,327.46453975794844,0.5292056551648963,False,2,2,1
115,116,2.5,1.75,397.42323428397077,0.5653031747051519,False,2,2,1
116,117,4.0,1.75,130.2989122620828,0.46721358853879846,False,2,2,1
117,118,0.5,1.0,165.12838617179636,0.5416524951535137,False,0,0,1
118,119,2.5,1.0,339.5310147941477,0.37536954291632785,False,2,1,2
119,120,1.5,2.0,347.4197366366088,0.12339033059214079,False,2,2,1
120,121,0.0,9999.0,9999.0,9999.0,False,0,0,1
121,122,1.25,1.25,367.9574812224926,0.5233162501258968,False,0,0,2
122,123,1.25,1.5,134.23640159098406,0.034065536691141096,False,0,0,1
123,124,0.0,1.25,237.55790258352948,0.3049157659082388,False,0,0,1
124,125,1.0,3.25,280.1484194519963,0.5986434620037482,False,0,0,2
125,126,0.0,1.5,131.6380990722402,0.007442093156077578,False,0,0,1
126,127,0.5,1.5,387.0388436827539,0.5737873864283254,False,0,0,2
127,128,2.0,2.0,393.9154768283072,0.4725702221329453,False,3,2,3
128,129,1.75,1.5,388.00810102680833,0.42382352362206765,False,2,2,1
129,130,1.75,2.0,399.76979670464203,0.4084816544862165,False,2,2,1
130,131,1.5,2.0,299.63762969193937,0.5734138837195969,False,1,1,1
131,132,1.0,3.5,297.0381780405157,0.6070195272645874,False,0,0,1
132,133,0.5,1.5,231.5607866340077,0.26380784605023755,False,0,0,1
133,134,3.0,1.5,104.95357676658057,0.39694264460527406,False,3,3,2
134,135,2.0,1.5,166.48207716702296,0.21763039946121998,False,2,2,1
135,136,5.75,0.5,362.82055787350055,0.05531008591036868,False,1,1,1
136,137,2.25,1.0,370.09547593860435,0.6197963000656823,False,3,2,1
137,138,1.5,1.75,391.10297953741406,0.61108473124003,False,2,2,1
138,139,1.75,1.0,189.348105088473,0.0,False,3,3,1
139,140,1.0,1.5,367.105807666589,0.40646280041446553,False,0,0,1
140,141,1.5,2.0,236.326400248752,0.0,False,2,2,1
